날짜,내용,금액
2025-12-05,무신사,44400
2025-12-09,넷플릭스,16490
2025-12-09,버거킹,22900
2025-12-14,편의점 GS25,19700
2025-12-19,다이소,67300
2025-12-19,버거킹,26400
2025-12-19,편의점 GS25,9155
2025-12-20,편의점 GS25,17400
2025-12-23,무신사,37680
2025-12-26,메가커피,22300
2026-01-01,메가커피,26300
2026-01-01,편의점 GS25,14700
2026-01-07,메가커피,20500
2026-01-08,설빙,9200
2026-01-09,넷플릭스,17000
2026-01-11,무신사,31500
2026-01-16,메가커피,10800
2026-01-19,올리브영,16400
2026-01-22,다이소,18100
2026-01-27,버거킹,17500
2026-02-02,버거킹,21100
2026-02-02,편의점 GS25,15800
2026-02-03,설빙,9000
2026-02-04,설빙,20800
2026-02-05,설빙,7700
2026-02-09,넷플릭스,17000
2026-02-22,올리브영,42700
2026-02-23,무신사,60300
2026-02-23,올리브영,51000
2026-02-24,편의점 GS25,11100
2026-03-05,편의점 GS25,13800
2026-03-07,설빙,16500
2026-03-09,넷플릭스,17000
2026-03-10,메가커피,18300
2026-03-13,다이소,68400
2026-03-16,설빙,9500
2026-03-18,설빙,9200
2026-03-20,무신사,28100
2026-03-24,무신사,63000
2026-03-28,메가커피,18200
2026-04-06,올리브영,20800
2026-04-08,편의점 GS25,13200
2026-04-09,넷플릭스,17000
2026-04-09,메가커피,17000
2026-04-09,버거킹,10300
2026-04-11,메가커피,7400
2026-04-14,설빙,15700
2026-04-16,무신사,14800
2026-04-16,편의점 GS25,21900
2026-04-25,올리브영,30400
2026-05-01,버거킹,25799
2026-05-02,메가커피,7800
2026-05-02,설빙,16500
2026-05-08,올리브영,24700
2026-05-09,넷플릭스,17000
2026-05-11,버거킹,17100
2026-05-12,버거킹,11400
2026-05-15,버거킹,24900
2026-05-18,다이소,76100
2026-05-18,올리브영,31200
2026-06-01,무신사,20600
2026-06-03,버거킹,16300
2026-06-08,올리브영,24600
2026-06-09,넷플릭스,17000
2026-06-12,버거킹,14600
2026-06-17,설빙,8800
2026-06-21,메가커피,12300
2026-06-23,설빙,17300
2026-06-27,버거킹,16200
2026-06-28,무신사,20800
2026-07-01,메가커피,7700
2026-07-02,메가커피,8300
2026-07-03,편의점 GS25,9000
2026-07-06,무신사,32900
2026-07-08,메가커피,15500
2026-07-09,넷플릭스,17000
2026-07-10,설빙,25100
2026-07-13,메가커피,19900
2026-07-14,올리브영,20700
2026-07-27,올리브영,12400
2026-08-05,설빙,16600
2026-08-05,올리브영,25000
2026-08-05,편의점 GS25,18100
2026-08-06,편의점 GS25,13900
2026-08-09,넷플릭스,17000
2026-08-11,메가커피,23100
2026-08-13,올리브영,26500
2026-08-15,버거킹,15400
2026-08-20,버거킹,11900
2026-08-23,무신사,14500
2026-09-02,메가커피,17700
2026-09-04,다이소,34200
2026-09-06,버거킹,19600
2026-09-09,넷플릭스,17000
2026-09-09,버거킹,11000
2026-09-11,메가커피,7500
2026-09-16,메가커피,10400
2026-09-17,메가커피,19300
2026-09-18,다이소,47800
2026-09-25,무신사,66500
